Date;CD;LD;Total;Total cumulé
2008-04-23;3;;3;8
2008-05-06;1617;303;1920;3163
2008-05-07;1712;341;2053;5216
2008-05-24;402;310;712;29440
2008-05-26;458;613;1071;31313
2008-06-07;1271;849;2120;50072
2008-06-19;301;1313;1614;70543
2008-06-23;402;1459;1861;78213
2008-06-24;494;1639;2133;80346
2008-06-29;624;491;1115;89628
2008-06-30;396;1462;1858;91486
2008-07-06;426;468;894;101374
2008-07-07;259;1062;1321;102695
2008-07-09;324;1578;1902;106457
2008-07-13;650;432;1082;111802
2008-07-15;376;1430;1806;114784
2008-07-16;366;1395;1761;116545
2008-07-25;189;823;1012;131052
2008-08-03;406;359;765;143193
2008-08-10;372;323;695;152434
2008-08-16;406;459;865;159001
2008-08-21;303;1103;1406;165416
2008-08-22;281;1013;1294;166710
2008-08-28;455;1580;2035;175950
2008-09-14;541;752;1293;205801
2008-09-23;1463;2689;4152;229148
2008-10-02;268;1925;2193;248555
2008-10-07;182;1684;1866;257198
2008-10-11;634;1439;2073;267318
2008-10-17;304;2234;2538;280478
2008-11-03;100;1460;1560;309648
2008-11-05;146;1939;2085;313846
2008-11-09;376;608;984;320616
2008-11-15;350;1264;1614;330928
2008-11-23;165;544;709;345284
2008-12-01;101;1871;1972;359345
2008-12-02;111;1906;2017;361362
2008-12-08;113;1712;1825;371073
2008-12-13;128;684;812;380035
2008-12-14;155;663;818;380853
2009-01-04;83;392;475;403062
2009-01-13;102;1467;1569;415304
2009-01-14;63;1602;1665;416969
2009-01-16;154;1716;1870;420746
2009-01-17;187;1059;1246;421992
2009-01-21;82;1711;1793;427561
2009-01-27;82;1820;1902;435860
2009-01-28;40;993;1033;436893
2009-02-07;163;825;988;452470
2009-02-11;113;1481;1594;457048
2009-02-26;209;1978;2187;480022
2009-02-27;197;2061;2258;482280
2009-03-04;124;1813;1937;490918
2009-03-18;235;2186;2421;516932
2009-03-22;299;691;990;524517
2009-04-03;141;2042;2183;548545
2009-04-07;181;1715;1896;554040
2009-04-08;56;711;767;554807
2009-04-18;339;957;1296;566843
2009-04-19;128;476;604;567447
2009-05-09;453;833;1286;604675
2009-05-11;167;1618;1785;607154
2009-05-27;249;1932;2181;635520
2009-06-20;474;922;1396;678923
2009-06-23;270;1807;2077;684000
2009-07-14;307;421;728;715376
2009-07-15;242;1282;1524;716900
2009-07-20;257;1282;1539;722537
2009-07-29;326;1268;1594;734705
2009-08-17;319;899;1218;755646
2009-08-21;244;1040;1284;760708
2009-08-22;387;567;954;761662
2009-08-25;261;1301;1562;765250
2009-09-01;278;1531;1809;775985
2009-09-08;319;1868;2187;787611
2009-09-09;367;1781;2148;789759
2009-09-16;222;1266;1488;801842
2009-09-26;502;1082;1584;821423
2009-10-04;447;599;1046;837103
2009-10-07;315;1778;2093;842964
2009-10-21;188;1455;1643;868865
2009-11-05;220;1995;2215;891329
2009-11-14;218;829;1047;905220
2009-11-21;213;986;1199;917734
2009-11-29;103;454;557;927873
2009-12-02;115;1480;1595;933370
2009-12-03;182;1845;2027;935397
2009-12-07;72;1294;1366;940171
2009-12-22;76;1117;1193;960157
2009-12-31;82;715;797;965277
2010-01-12;50;1120;1170;978157
2010-01-14;80;1542;1622;981174
2010-01-17;219;530;749;984191
2010-01-23;111;581;692;993486
2010-01-28;120;1729;1849;1000696
2010-02-19;154;1273;1427;1030414
2010-02-20;258;642;900;1031314
2010-03-02;142;1947;2089;1042737
2010-03-03;122;1729;1851;1044588
2010-03-08;85;1418;1503;1051725
2010-03-16;144;1909;2053;1064521
2010-03-17;191;1960;2151;1066672
2010-03-18;161;1968;2129;1068801
2010-03-27;205;928;1133;1082830
2010-04-11;325;505;830;1105313
2010-04-14;172;1420;1592;1109946
2010-04-28;224;2034;2258;1134556
2010-05-11;280;1871;2151;1158484
2010-05-12;341;1875;2216;1160700
2010-05-28;381;2221;2602;1191049
2010-06-02;263;2078;2341;1198721
2010-06-05;420;1128;1548;1205676
2010-06-18;321;1978;2299;1230280
2010-06-19;320;844;1164;1231444
2010-06-22;306;2125;2431;1237230
2010-07-04;296;478;774;1260884
2010-07-24;359;719;1078;1294615
2010-08-18;396;1368;1764;1329010
2010-09-02;280;2224;2504;1353538
2010-09-03;312;2150;2462;1356000
2010-09-04;323;988;1311;1357311
2010-09-10;328;2285;2613;1370867
2010-09-14;334;2519;2853;1378606
2010-09-28;246;2437;2683;1411232
2010-10-01;101;1015;1116;1417617
2010-10-04;81;1147;1228;1420891
2010-10-09;452;1241;1693;1431509
2010-10-17;336;703;1039;1449032
2010-10-24;403;602;1005;1465093
2010-11-03;159;1641;1800;1481060
2010-11-06;169;828;997;1487032
2010-11-30;77;1751;1828;1524232
2010-12-10;135;1852;1987;1538235
2010-12-14;61;1860;1921;1543722
2011-01-02;66;366;432;1560271
2011-01-23;118;417;535;1592322
2011-01-27;114;1751;1865;1599352
2011-02-01;80;1680;1760;1605870
2011-02-02;71;1636;1707;1607577
2011-02-23;84;1472;1556;1643488
2011-03-07;113;1429;1542;1661241
2011-03-08;181;1727;1908;1663149
2011-03-12;260;854;1114;1669771
2011-03-22;152;2276;2428;1689050
2011-03-25;260;2307;2567;1696727
2011-04-02;404;1196;1600;1710952
2011-04-06;333;2451;2784;1720000
2011-04-25;562;679;1241;1763454
2011-04-30;464;1032;1496;1774059
2011-05-05;345;2183;2528;1783769
2011-05-08;399;789;1188;1789120
2011-05-28;1003;1777;2780;1845519
2011-06-09;216;2781;2997;1872774
2011-06-12;227;524;751;1877883
2011-06-13;190;677;867;1878750
2011-06-26;470;786;1256;1908815
2011-07-08;231;1946;2177;1937780
2011-07-11;256;2251;2507;1943251
2011-07-16;162;394;556;1952500
2011-07-23;483;1013;1496;1964689
2011-07-24;397;518;915;1965604
2011-07-26;367;2155;2522;1970188
2011-08-18;389;1858;2247;2008843
2011-08-21;502;628;1130;2013583
2011-08-30;335;2522;2857;2031662
2011-09-01;399;2711;3110;2037624
2011-09-02;477;2854;3331;2040955
2011-09-09;463;2959;3422;2061041
2011-09-12;193;2361;2554;2066950
2011-09-18;715;1054;1769;2085086
2011-09-21;463;3391;3854;2096615
2011-09-29;614;3741;4355;2126958
2011-10-08;703;1940;2643;2160935
2011-10-09;694;1359;2053;2162988
2011-10-15;1187;2234;3421;2188032
2011-10-30;927;1043;1970;2233928
2011-11-03;255;2968;3223;2244724
2011-11-04;416;3291;3707;2248431
2011-11-06;536;1122;1658;2252608
2011-11-07;257;3179;3436;2256044
2011-11-11;1234;1654;2888;2270157
2011-12-01;191;2347;2538;2335206
2011-12-02;373;3361;3734;2338940
2011-12-10;504;1946;2450;2358862
2011-12-13;176;2691;2867;2366455
2011-12-19;101;1738;1839;2378602
2011-12-23;238;1767;2005;2388953
2011-12-25;78;201;279;2390212
2011-12-30;140;1147;1287;2397535
2012-01-26;269;2995;3264;2469235
2012-02-02;148;2508;2656;2486338
2012-02-11;207;1100;1307;2504137
2012-02-15;171;2416;2587;2512216
2012-02-16;230;2492;2722;2514938
2012-03-11;600;1231;1831;2581940
2012-03-28;486;3798;4284;2641125
2012-04-10;173;1803;1976;2682608
2012-04-21;459;1459;1918;2709593
2012-05-01;1124;1397;2521;2733692
2012-05-15;343;3591;3934;2779123
2012-05-16;475;3647;4122;2783245
2012-05-17;714;1309;2023;2785268
2012-05-20;244;636;880;2789446
2012-06-04;305;3492;3797;2844478
2012-06-05;295;3028;3323;2847801
2012-06-08;533;3568;4101;2859453
2012-06-10;518;1007;1525;2863437
2012-06-15;462;3104;3566;2882015
2012-07-14;1180;1578;2758;2981803
2012-07-22;1136;1264;2400;3009006
2012-07-26;593;2840;3433;3023157
2012-07-30;241;1627;1868;3032632
2012-08-03;638;2433;3071;3045155
2012-08-06;572;2045;2617;3051190
2012-08-07;856;2307;3163;3054353
2012-08-19;911;1029;1940;3085961
2012-08-24;402;2152;2554;3102362
2012-09-02;949;1573;2522;3131394
2012-09-04;598;4178;4776;3140372
2012-09-17;562;4530;5092;3198335
2012-09-20;813;5134;5947;3215398
2012-10-09;259;3739;3998;3291335
2012-10-22;246;4073;4319;3338764
2012-11-01;480;1067;1547;3377724
2012-11-02;346;1705;2051;3379775
2012-11-19;206;4226;4432;3443358
2012-11-29;257;4410;4667;3486314
2012-12-02;352;1386;1738;3495490
2012-12-08;494;2516;3010;3518173
2012-12-12;177;3399;3576;3531537
2012-12-23;341;1032;1373;3563535
2012-12-27;156;1594;1750;3568372
2013-01-14;155;3201;3356;3616765
2013-01-15;181;4014;4195;3620960
2013-01-28;147;3589;3736;3659724
2013-01-31;257;3973;4230;3669963
2013-02-04;160;3347;3507;3680069
2013-02-08;266;3594;3860;3694980
2013-02-09;309;1616;1925;3696905
2013-02-11;91;2890;2981;3700874
2013-02-16;783;2467;3250;3720237
2013-02-20;266;3766;4032;3734432
2013-03-08;310;3301;3611;3779398
2013-03-09;814;2148;2962;3782360
2013-03-31;569;999;1568;3851286
2013-04-06;445;2020;2465;3870429
2013-04-08;162;2823;2985;3875344
2013-04-17;599;4564;5163;3908366
2013-04-26;394;3051;3445;3944100
2013-04-28;499;1324;1823;3947849
2013-05-01;455;1175;1630;3955547
2013-05-17;526;4248;4774;4009415
2013-05-28;265;3658;3923;4046111
2013-05-29;242;3058;3300;4049411
2013-06-13;462;3607;4069;4109620
2013-06-14;800;4277;5077;4114697
2013-06-23;603;1451;2054;4147181
2013-06-24;393;3758;4151;4151332
2013-06-26;640;4172;4812;4160786
2013-07-04;485;4066;4551;4193028
2013-07-09;682;3721;4403;4211642
2013-07-14;1132;1509;2641;4230431
2013-08-11;1060;1147;2207;4318250
2013-08-19;518;2664;3182;4339257
2013-08-21;610;3049;3659;4346744
2013-08-24;1027;1834;2861;4357572
2013-09-10;641;4972;5613;4428013
2013-09-11;599;4417;5016;4433029
2013-09-15;893;1755;2648;4448047
2013-10-05;1121;2873;3994;4542191
2013-10-09;494;4794;5288;4560723
2013-10-22;305;3788;4093;4613006
2013-10-23;327;3849;4176;4617182
2013-10-28;199;3001;3200;4635556
2013-11-01;274;755;1029;4647815
2013-11-07;201;3147;3348;4666790
2013-11-11;159;785;944;4676797
2013-11-21;198;3568;3766;4716010
2013-11-25;190;3759;3949;4729696
2013-11-30;609;2418;3027;4749887
2013-12-04;208;3855;4063;4764024
2013-12-07;496;2382;2878;4775941
2013-12-30;83;1240;1323;4835072
2014-01-14;161;3999;4160;4874860
2014-01-23;215;3914;4129;4904971
2014-02-05;172;2954;3126;4943681
2014-02-09;196;1023;1219;4953609
2014-02-23;817;1693;2510;4996592
2014-03-04;167;2553;2720;5023291
2014-03-05;244;3093;3337;5026628
2014-03-06;331;3362;3693;5030321
2014-03-14;565;3576;4141;5059700
2014-03-21;419;4105;4524;5088249
2014-03-22;469;2059;2528;5090777
2014-04-07;185;3383;3568;5147395
2014-04-17;529;4619;5148;5192563
2014-04-26;723;2165;2888;5225531
2014-04-29;243;2439;2682;5232334
2014-04-30;453;3162;3615;5235949
2014-05-05;302;3026;3328;5249016
2014-05-11;476;1296;1772;5263954
2014-05-20;267;3797;4064;5301348
2014-06-11;457;4325;4782;5386702
2014-06-15;975;1795;2770;5403332
2014-06-22;1077;1720;2797;5433215
2014-06-25;532;4368;4900;5447259
2014-07-08;337;3416;3753;5495661
2014-07-10;690;4114;4804;5504691
2014-07-20;1050;1224;2274;5539616
2014-08-01;898;3150;4048;5583224
2014-08-14;695;2232;2927;5618329
2014-08-16;1184;1324;2508;5623638
2014-08-27;460;3048;3508;5657971
2014-09-02;598;4362;4960;5683543
2014-09-25;680;5635;6315;5803405
2014-09-30;470;5493;5963;5828568
2014-10-19;1262;2020;3282;5912558
2014-10-26;944;1615;2559;5941229
2014-11-03;105;1779;1884;5970677
2014-11-05;302;4407;4709;5979947
2014-11-14;418;3931;4349;6012438
2014-11-15;649;2361;3010;6015448
2014-11-16;522;1601;2123;6017571
2014-11-18;252;4573;4825;6026398
2014-12-02;205;4040;4245;6084589
2014-12-08;144;3520;3664;6105455
2014-12-13;387;2085;2472;6123628
2014-12-27;297;1009;1306;6158779
2015-01-10;416;1966;2382;6189571
2015-01-14;234;3431;3665;6202047
2015-01-21;138;3323;3461;6222826
2015-01-26;96;2921;3017;6237441
2015-01-28;134;3148;3282;6244583
2015-01-30;285;3389;3674;6250648
2015-02-12;300;3110;3410;6288914
2015-03-08;1060;1843;2903;6361701
2015-03-12;371;4167;4538;6378767
2015-03-15;688;1590;2278;6387455
2015-03-18;338;4111;4449;6400522
2015-03-21;610;2249;2859;6410174
2015-04-26;462;1236;1698;6536228
2015-04-27;394;3672;4066;6540294
2015-04-28;403;4312;4715;6545009
2015-05-11;389;4034;4423;6584772
2015-05-20;408;3860;4268;6617520
2015-05-25;725;1801;2526;6636415
2015-05-31;400;1055;1455;6660853
2015-06-08;398;4132;4530;6698039
2015-06-11;522;4331;4853;6712289
2015-06-14;578;1094;1672;6721695
2015-06-15;371;3584;3955;6725650
2015-06-20;1232;2450;3682;6749242
2015-06-21;1176;2034;3210;6752452
2015-07-01;614;3894;4508;6796611
2015-07-02;502;3608;4110;6800721
2015-07-20;528;3004;3532;6867436
2015-08-02;1014;1251;2265;6911298
2015-08-15;1419;1544;2963;6952884
2015-08-21;1043;3289;4332;6975481
2015-08-29;1116;2203;3319;6998042
2015-09-05;1048;2530;3578;7027258
2015-09-11;990;4495;5485;7056235
2015-09-16;297;2909;3206;7073171
2015-09-17;563;4896;5459;7078630
2015-09-22;294;3631;3925;7099558
2015-10-08;565;4957;5522;7172387
2015-10-21;343;4023;4366;7227955
2015-10-25;1000;1668;2668;7243191
2015-10-26;436;3351;3787;7246978
2015-11-06;423;3605;4028;7290461
2015-11-28;683;2261;2944;7372159
2015-12-05;581;2449;3030;7399542
2015-12-18;514;4167;4681;7450573
2015-12-24;202;1735;1937;7467406
2016-01-17;479;1365;1844;7529624
2016-01-25;231;3852;4083;7556862
2016-01-26;263;4186;4449;7561311
2016-01-30;230;1067;1297;7574102
2016-02-19;375;2949;3324;7635487
2016-03-02;190;3618;3808;7672150
2016-03-03;230;3780;4010;7676160
2016-03-14;200;3649;3849;7713205
2016-03-15;320;4030;4350;7717555
2016-03-31;730;4656;5386;7773052
2016-04-06;349;3349;3698;7795191
2016-04-09;787;2013;2800;7805162
2016-04-17;896;1840;2736;7831934
2016-04-19;460;4431;4891;7841013
2016-04-29;491;4067;4558;7884304
2016-05-30;283;4134;4417;8008363
2016-06-02;518;4739;5257;8023513
2016-06-05;1022;1866;2888;8034884
2016-06-08;550;4589;5139;8049864
2016-07-03;567;1343;1910;8156194
2016-07-10;1253;2130;3383;8190963
2016-07-11;633;4007;4640;8195603
2016-07-18;631;3481;4112;8221051
2016-07-21;1019;4211;5230;8235193
2016-07-28;865;4139;5004;8265772
2016-08-04;995;3165;4160;8292360
2016-08-19;621;2772;3393;8344963
2016-09-14;608;4787;5395;8463429
2016-09-19;491;4709;5200;8486329
2016-09-22;787;5588;6375;8504584
2016-09-28;540;5118;5658;8537067
2016-10-04;438;5337;5775;8565192
2016-10-27;494;4003;4497;8666344
2016-10-29;1103;2112;3215;8673747
2016-11-03;380;4612;4992;8692335
2016-11-07;242;4100;4342;8707121
2016-11-12;347;1148;1495;8726163
2016-11-22;222;4504;4726;8761458
2016-11-27;623;1705;2328;8779357
2016-11-28;155;3734;3889;8783246
2016-12-02;251;3828;4079;8799820
2016-12-04;332;1475;1807;8804308
2016-12-05;153;3821;3974;8808282
2016-12-08;295;4406;4701;8822014
2016-12-18;330;1394;1724;8859045
2017-01-21;256;1680;1936;8948257
2017-02-02;159;2596;2755;8983672
2017-02-19;777;1229;2006;9035120
2017-02-20;161;2404;2565;9037685
2017-02-23;266;2930;3196;9047267
2017-03-04;624;2065;2689;9073126
2017-03-10;487;3831;4318;9092408
2017-04-04;324;4021;4345;9185792
2017-04-09;1037;1747;2784;9207279
2017-04-17;751;1213;1964;9234809
2017-05-01;705;1211;1916;9283079
2017-05-22;403;4065;4468;9360748
2017-06-02;636;4460;5096;9404188
2017-06-14;555;4441;4996;9450846
2017-07-10;482;3319;3801;9553511
2017-07-15;1110;1424;2534;9572372
2017-07-24;615;2874;3489;9601654
2017-07-30;869;1144;2013;9620767
2017-07-31;637;2592;3229;9623996
2017-08-05;1091;1591;2682;9641074
2017-08-07;648;2519;3167;9646630
2017-08-12;573;1016;1589;9661385
2017-09-05;475;3842;4317;9741659
2017-09-08;342;2796;3138;9753946
2017-10-03;366;4445;4811;9851553
2017-10-05;495;4474;4969;9861281
2017-10-09;279;3883;4162;9875620
2017-10-27;662;3642;4304;9953415
2017-11-17;398;3884;4282;10025250
2017-12-24;144;608;752;10139262
2018-01-04;103;1947;2050;10153119
2018-01-21;258;932;1190;10198330
2018-01-24;171;3013;3184;10207623
2018-01-26;294;3371;3665;10214761
2018-02-07;98;2482;2580;10246166
2018-02-10;263;1543;1806;10254406
2018-02-11;233;1090;1323;10255729
2018-02-12;158;3060;3218;10258947
2018-02-18;288;928;1216;10273199
2018-02-20;156;3391;3547;10279422
2018-02-28;76;1952;2028;10299200
2018-03-17;342;1362;1704;10339638
2018-03-19;115;2723;2838;10344157
2018-03-29;120;2208;2328;10371979
2018-04-09;204;2849;3053;10396487
2018-04-15;374;1123;1497;10414619
2018-04-19;561;4118;4679;10430806
2018-04-21;934;2152;3086;10438495
2018-04-25;301;3276;3577;10452314
2018-05-07;534;2056;2590;10481735
2018-06-03;462;1126;1588;10561342
2018-06-04;173;2391;2564;10563906
2018-06-17;557;1258;1815;10602050
2018-08-04;506;927;1433;10744516
2018-08-13;434;1532;1966;10761584
2018-08-16;608;2049;2657;10768416
2018-08-20;61;1957;2018;10775909
2018-08-27;315;2418;2733;10791702
2018-09-27;364;4417;4781;10904996
2018-09-30;775;1630;2405;10915069
2018-10-03;357;4294;4651;10927962
2018-10-09;383;4700;5083;10950376
2018-10-10;227;3760;3987;10954363
2018-10-22;216;3217;3433;10999061
2018-11-07;177;3194;3371;11047698
2018-11-15;235;4016;4251;11074330
2018-11-25;124;966;1090;11101549
2018-11-28;101;3386;3487;11111323
2018-12-15;97;1150;1247;11161350
2019-01-03;140;2386;2526;11197440
2019-01-21;102;3220;3322;11249690
2019-01-24;116;3634;3750;11260600
2019-02-06;60;2989;3049;11296108
2019-02-12;165;3402;3567;11312065
2019-02-14;251;3290;3541;11318898
2019-02-15;310;3141;3451;11322349
2019-02-27;213;4128;4341;11361238
2019-03-03;196;1157;1353;11373482
2019-03-09;223;1699;1922;11391340
2019-03-20;159;3641;3800;11425865
2019-03-23;634;2756;3390;11437808
2019-03-26;118;4064;4182;11447562
2019-04-01;150;3677;3827;11470188
2019-04-02;90;3868;3958;11474146
2019-04-06;270;1748;2018;11486393
2019-04-08;178;3040;3218;11491642
2019-04-14;519;1571;2090;11512418
2019-04-22;728;1553;2281;11539226
2019-05-06;202;3687;3889;11591892
2019-05-11;303;2641;2944;11608327
2019-05-18;738;2855;3593;11637663
2019-05-22;231;4414;4645;11653534
2019-05-26;631;2425;3056;11671011
2019-05-27;220;3887;4107;11675118
2019-06-06;321;4369;4690;11714999
2019-06-11;168;3300;3468;11728356
2019-06-13;276;4213;4489;11736635
2019-06-14;425;4450;4875;11741510
2019-06-27;404;3859;4263;11793560
2019-07-02;321;4227;4548;11811564
2019-08-05;543;2604;3147;11944424
2019-08-16;1044;1917;2961;11979437
2019-08-20;560;3346;3906;11990238
2019-09-06;521;4477;4998;12059383
2019-09-07;822;2657;3479;12062862
2019-09-19;471;5114;5585;12117137
2019-09-23;224;3593;3817;12133271
2019-10-07;176;3065;3241;12186014
2019-10-17;230;4222;4452;12225238
2019-10-20;469;1431;1900;12233922
2019-11-03;281;1279;1560;12273375
2019-11-06;2030;5689;7719;12288175
2019-11-07;264;3260;3524;12291699
2019-11-14;221;3992;4213;12313373
2019-11-19;115;3516;3631;12329192
2019-11-26;82;2814;2896;12349934
2019-11-30;200;1593;1793;12362866
2019-12-07;517;2498;3015;12384327
2019-12-09;132;2999;3131;12389295
2019-12-13;173;3164;3337;12402498
2019-12-23;103;1743;1846;12427027
2019-12-24;132;1409;1541;12428568
2019-12-25;64;357;421;12428989
2019-12-27;284;1478;1762;12432244
2020-01-01;407;767;1174;12439902
2020-01-13;110;2724;2834;12471133
2020-01-26;225;1355;1580;12510183
2020-01-29;170;3691;3861;12519708
2020-02-02;121;1050;1171;12528442
2020-02-04;94;3533;3627;12535146
2020-02-08;292;1824;2116;12548606
2020-02-13;140;2930;3070;12562650
2020-03-05;114;2913;3027;12616088
2020-03-08;252;1308;1560;12622922
2020-03-16;59;1256;1315;12644118
2020-03-20;16;319;335;12645970
2020-03-22;7;83;90;12646239
2020-03-23;13;234;247;12646486
2020-03-26;12;224;236;12647224
2020-03-29;3;80;83;12647741
2020-04-10;23;288;311;12650706
2020-04-15;11;297;308;12651916
2020-04-22;22;336;358;12653814
2020-04-27;14;239;253;12655287
2020-05-03;18;184;202;12656813
2020-06-03;391;2765;3156;12704408
2020-06-12;253;2114;2367;12726468
2020-06-20;848;2210;3058;12745285
2020-07-01;357;2859;3216;12779034
2020-07-05;638;1413;2051;12790598
2020-07-08;517;3282;3799;12801620
2020-07-26;1037;1581;2618;12862487
2020-07-28;685;2925;3610;12869084
2020-07-31;740;2702;3442;12879496
2020-08-07;786;2293;3079;12901962
2020-08-10;716;1987;2703;12909916
2020-08-26;690;3265;3955;12959938
2020-09-23;282;3813;4095;13086750
2020-09-30;311;4578;4889;13117012
2020-10-01;260;4179;4439;13121451
2020-10-07;323;4522;4845;13143176
2020-10-16;454;4714;5168;13183273
2020-11-04;64;1797;1861;13236892
2020-11-10;85;1987;2072;13246932
2020-11-12;94;1908;2002;13250002
2020-11-28;175;1889;2064;13279061
2020-12-01;59;2115;2174;13284705
2020-12-09;59;1923;1982;13299135
2020-12-16;54;1862;1916;13312431
2020-12-17;100;2277;2377;13314808
2020-12-29;166;1176;1342;13328013
2021-01-08;95;1910;2005;13341939
2021-01-10;132;960;1092;13344377
2021-01-12;59;2038;2097;13348317
2021-01-20;71;1921;1992;13363695
2021-01-30;73;951;1024;13380173
2021-02-02;70;1976;2046;13384693
2021-02-11;46;1450;1496;13401274
2021-02-17;117;2219;2336;13412249
2021-03-01;235;1920;2155;13436866
2021-03-12;66;2052;2118;13459349
2021-03-16;115;2230;2345;13466937
2021-03-21;363;1145;1508;13478064
2021-03-22;80;2272;2352;13480416
2021-04-12;120;2077;2197;13529828
2021-04-17;264;2099;2363;13541714
2021-04-20;146;2250;2396;13548627
2021-04-27;155;2677;2832;13566801
2021-04-29;139;2615;2754;13572247
2021-05-08;349;1884;2233;13594858
2021-05-20;155;3208;3363;13621057
2021-06-16;281;3429;3710;13704065
2021-07-09;414;3327;3741;13783999
2021-07-22;573;3806;4379;13828422
2021-08-08;912;1668;2580;13879714
2021-08-12;699;2571;3270;13891995
2021-08-13;901;2394;3295;13895290
2021-08-20;829;2732;3561;13916968
2016-01-16;632;2362;2994;7527780
2016-01-18;130;2840;2970;7532594
2016-01-24;764;1752;2516;7552779
2016-01-27;205;3515;3720;7565031
2016-01-31;258;1191;1449;7575551
2016-02-05;526;4071;4597;7596437
2016-02-06;752;2118;2870;7599307
2016-02-20;393;1571;1964;7637451
2016-02-24;146;1901;2047;7648061
2016-03-07;184;3495;3679;7688068
2016-03-09;233;3390;3623;7695675
2016-03-13;661;1645;2306;7709356
2016-03-21;228;3551;3779;7739718
2016-03-29;202;3757;3959;7765076
2016-03-30;128;2462;2590;7767666
2016-04-02;841;2320;3161;7780973
2016-04-13;459;3327;3786;7818100
2016-04-25;245;3733;3978;7864974
2016-05-07;1034;1803;2837;7915542
2016-05-13;387;3786;4173;7939128
2016-05-19;756;5108;5864;7962723
2016-05-27;718;4802;5520;7998971
2016-06-06;406;4187;4593;8039477
2016-06-07;497;4751;5248;8044725
2016-06-21;2015;5913;7928;8106209
2016-06-26;892;1873;2765;8127123
2016-06-29;572;4351;4923;8141719
2016-07-16;1228;1674;2902;8214649
2016-07-20;715;3922;4637;8229963
2016-07-27;787;3863;4650;8260768
2016-08-10;930;2972;3902;8313553
2016-08-13;1375;1573;2948;8324700
2016-08-14;1218;1015;2233;8326933
2016-08-24;876;4022;4898;8364310
2016-08-30;626;4378;5004;8390337
2016-09-08;858;5362;6220;8434978
2016-09-20;563;5404;5967;8492296
2016-09-26;546;5075;5621;8525490
2016-09-27;499;5420;5919;8531409
2016-10-07;684;5114;5798;8582745
2016-10-26;360;3790;4150;8661847
2016-10-30;1180;1580;2760;8676507
2016-11-15;261;4324;4585;8737321
2016-12-10;591;2480;3071;8829845
2016-12-15;302;4407;4709;8849650
2016-12-16;458;4371;4829;8854479
2016-12-27;318;1864;2182;8879405
2017-01-04;165;3317;3482;8896583
2017-01-09;121;2967;3088;8910747
2017-01-12;191;2957;3148;8921729
2017-01-20;241;2990;3231;8946321
2017-01-22;360;1129;1489;8949746
2017-01-27;318;3298;3616;8967239
2017-01-28;546;1827;2373;8969612
2017-02-01;163;3501;3664;8980917
2017-02-05;261;1099;1360;8990526
2017-02-07;178;3762;3940;8997406
2017-02-24;395;2920;3315;9050582
2017-03-13;234;3690;3924;9101117
2017-03-18;753;2106;2859;9122265
2017-03-23;240;3375;3615;9138903
2017-04-08;1348;2559;3907;9204495
2017-05-15;337;3905;4242;9334191
2017-05-16;553;4496;5049;9339240
2017-05-24;571;4313;4884;9370731
2017-05-30;418;4514;4932;9389020
2017-06-09;571;4473;5044;9430634
2017-06-22;616;4377;4993;9485201
2017-06-23;593;4089;4682;9489883
2017-06-29;429;3935;4364;9512765
2017-07-03;560;3627;4187;9526108
2017-07-23;508;840;1348;9598165
2017-08-01;783;3147;3930;9627926
2017-08-18;799;2602;3401;9679582
2017-08-19;1065;1558;2623;9682205
2017-08-20;1145;1221;2366;9684571
2017-08-29;460;3593;4053;9717122
2017-09-23;1391;2643;4034;9813192
2017-09-27;461;4387;4848;9829666
2017-10-01;410;1083;1493;9843008
2017-10-08;533;1360;1893;9871458
2017-10-11;436;4137;4573;9885404
2017-10-19;416;4330;4746;9920030
2017-11-04;624;1570;2194;9977417
2017-11-18;541;1970;2511;10027761
2017-11-19;491;1381;1872;10029633
2017-11-22;298;3917;4215;10041832
2017-11-24;374;3907;4281;10050040
2017-11-27;172;3420;3592;10058160
2017-12-02;479;1657;2136;10075186
2017-12-13;172;2809;2981;10107383
2017-12-20;259;3431;3690;10129290
2017-12-27;141;1399;1540;10141940
2018-01-15;129;2366;2495;10182272
2018-01-18;177;2579;2756;10192094
2018-01-23;143;2846;2989;10204439
2018-01-27;531;1868;2399;10217160
2018-02-05;108;2772;2880;10240671
2018-03-02;147;2148;2295;10303230
2018-03-07;169;2593;2762;10313202
2018-03-11;299;1084;1383;10322544
2018-03-20;137;2815;2952;10347109
2018-03-30;140;2055;2195;10374174
2018-03-31;337;1292;1629;10375803
2018-04-13;323;3128;3451;10410432
2018-04-29;249;613;862;10461975
2018-05-05;758;1680;2438;10477321
2018-05-15;251;3644;3895;10500751
2018-05-20;713;1130;1843;10517321
2018-05-27;487;1277;1764;10539334
2018-06-05;235;3263;3498;10567404
2018-06-06;216;2819;3035;10570439
2018-06-07;375;3576;3951;10574390
2018-06-18;280;3052;3332;10605382
2018-06-19;284;3617;3901;10609283
2018-06-24;576;1341;1917;10625624
2018-06-26;345;3466;3811;10632961
2018-06-30;577;1786;2363;10647095
2018-07-03;412;3468;3880;10655213
2018-07-16;350;2565;2915;10696276
2018-07-18;405;2979;3384;10703102
2018-08-01;483;2293;2776;10738020
2018-08-02;471;2203;2674;10740694
2018-08-03;484;1905;2389;10743083
2018-08-11;665;1046;1711;10758437
2018-08-22;352;2198;2550;10779939
2018-08-30;307;2888;3195;10800686
2018-09-04;380;3427;3807;10816071
